visitor_id;date;no_of_order
b/t3NkO+fNAW4XXdWy+uUSJ16fk=;01/11/2019;1
bAxR9JaKbkhVv6FwkWJvge7KFXE=;01/11/2019;2
bkJ6sKdlfQkzb2gu07TltiZs4tI=;01/11/2019;1
BkqlerjmQk0YYkQgB7rFruEUzQY=;01/11/2019;1
boHQKLD1FnBQIqkfsYxDM91Y7Ek=;01/11/2019;1
BOjhA+wg1oJHwWWkjudgVgI9XwM=;01/11/2019;1
Bp/nK+vwDoVEyAjPhN+vuI5XlcY=;01/11/2019;1
br1lXr6XXVoco45LjhRWZyJ4B1Y=;01/11/2019;1
BrijBQoKD98+sf/Wz3zJLKRAHRQ=;01/11/2019;1
bX9TgJpkjsdqcqDm+cly3NMyC1Q=;01/11/2019;3
BXPFVATAvIiRBsYTfjYog+BQnKM=;01/11/2019;3
C2FpVSGFYK136FKqQ3SelBNenAw=;01/11/2019;1
cBHutDqJ4Z/lUM+e+PeERvLBH6Q=;01/11/2019;1
CdlsueytXxjeSwo2hikFbB1iUSI=;01/11/2019;1
cfwONnQVrfGtiu4qU30VPDmqNX8=;01/11/2019;1
CgsM/0G0pdNF90Nqi+1GDiMFOJc=;01/11/2019;1
cif+5LT7g3FJHkpRo+uHmoMAacw=;01/11/2019;1
ciLx7tgNcfHFriHODpTArL89toE=;01/11/2019;2
cIMQhWFt84njPDaGUE4bUmp+n4o=;01/11/2019;1
CKR2iOOyTB8+fH3o6Lr1yWV5q5Y=;01/11/2019;1
cLnneqkMyW0owR36QeSAyEFG9z4=;01/11/2019;1
cmEDRrmycWfyvwDDrmGj8In3DZU=;01/11/2019;1
cmrI52RqsCSkn6CA1GQ1YThe6lY=;01/11/2019;1
cnpidkLm8RFJ5B5MCfFC8i+1+cg=;01/11/2019;1
CVmqif6yW2pCX8poDrsmRs4X7Z4=;01/11/2019;1
cw+PLw+gd8R74scEsUJhBwQ1mPg=;01/11/2019;1
cxx4F8NGV8aie2zflMfFnvVGhXY=;01/11/2019;1
DD2KUjOrguhTn2E+fvGCbnQ4bZU=;01/11/2019;1
dla/6vcQ66i4zAbNmCbmZvS/DW0=;01/11/2019;1
dm92mnCFsMMSTVyDeZmyBteBgvI=;01/11/2019;2
DqV5K2x+ACnXaZ1tl/Zd7dX8sSk=;01/11/2019;1
DRHD1elJIwZ3/6EUjdmxo7Lcs7A=;01/11/2019;1
DUdyaXHNY7eeESVtlqA1BU7hwmM=;01/11/2019;6
dWTVnZEy6+z0scS6NySIc42KWkM=;01/11/2019;2
dxuf4g9hF1lu34JSS7iaqT9xMeA=;01/11/2019;1
E0CHGZHCJI6epIqkMrVIOEyiKLY=;01/11/2019;1
E238atFDb9WMywA0m5n3eQ31ZCo=;01/11/2019;1
e2cvLyV0HshXCzHUoKTZZ7HsWj4=;01/11/2019;1
e50BTFKrJy1dx7iSJ+DYPwWTG9Y=;01/11/2019;1
E6f9FoHHKz6KJ098P7iipCjYFN8=;01/11/2019;2
e6GtFyyCtFA8OFNLWWJu74j7vCM=;01/11/2019;1
ebDvls+yQwOSzx4nofhIknLDFP4=;01/11/2019;1
eIoigXQXPFeryQbDPVzetXkq3Mc=;01/11/2019;1
ej2/fpXxhNx93jnZGt0uy3/K5MU=;01/11/2019;1
eKTU6a85IMYviAUneppyKDPwWJg=;01/11/2019;1
elwvOHZlsLbLj8szGdl0zHPYh3A=;01/11/2019;1
en4+SFm/ZX1BF6CXsCu88F9dTVE=;01/11/2019;1
eNcIYrGP70eD8b7M8i248EIb+T4=;01/11/2019;1
EOAl+aP3HN4t5EjvdDmZO8UKbz4=;01/11/2019;2
EOVJJccmtxr9xWavUF5Ma9jRhLM=;01/11/2019;8
Ep8e3u6Lq34vjLR78n0xLKx9dWc=;01/11/2019;1
euCwe8tyl7QZPc5aSwk3+QkHMtU=;01/11/2019;1
F69XWUZt7Q29n/6Q5CjFVsFU4L4=;01/11/2019;3
F89YOy/I1y+pnmSA8gbkAk/NBfE=;01/11/2019;1
f8s7/90/gs0hwy2cmoErj98RLRc=;01/11/2019;1
fAI6qT/x6cRAMIpezW0ZpQAZabw=;01/11/2019;1
FCnFOAC7jy4OTh6pO4dLzoZo0Vw=;01/11/2019;1
FeC50lkT2cQ/rTZ7t7wUBhp15tk=;01/11/2019;1
ff1IWJ5N9xGSSQl3CMpbmbf9twA=;01/11/2019;4
fIdl3jrFFwPr+ZMHDgqepvU1C6g=;01/11/2019;1
FL5OkF9U6h7Cc3Kpr6pJKju34Ds=;01/11/2019;1
FlFyhQpnm5jnr6lfwURD4e7hhaY=;01/11/2019;1
FNvzFhwnMn7J7+tqpji9iCdFUd4=;01/11/2019;1
fopCrDggwztHQsKoowyoDe0Lwio=;01/11/2019;1
fPdavEOPChsyeuVjX0+y90B5itU=;01/11/2019;1
frw3ad93XZW3ffJ4jB3g+yKlkH4=;01/11/2019;10
fxdT8nSLX/8EQ1NbrWVnT0cSPj0=;01/11/2019;2
fYzG5Le9bSArCZuGxKPEqnuTR9E=;01/11/2019;2
FZKCUDv2k/z+pIKrAG57MEWWz3U=;01/11/2019;2
Ggju2SF22lwDTS2zqU4NAHgZ1Sg=;01/11/2019;1
GjsXFW/8E4Wno16RPnVpSrY1ids=;01/11/2019;2
gjWJwws3CwadfF1qXyEIdY6m6Ak=;01/11/2019;4
gqt1FO12/4fwcp2spOmcMRy6V5s=;01/11/2019;1
gr6sYMYs6o5Pw6Ij8GAOhbyjPiY=;01/11/2019;1
gSmDOoIaoRPlrH6dFimrEGgAa/Y=;01/11/2019;1
GVW7oSGFT0YzMGUyt24bMTEZCk4=;01/11/2019;2
gwJcBaePNpRScklE+BdHJR1C1SY=;01/11/2019;1
GYRajeIJJr3FLUyv0KXnnRYSo3Q=;01/11/2019;1
GZji1nkkaan8K/v/w1drZnCB9zM=;01/11/2019;3
hacwIC8ab7TmclNw1eOuA1Btj8k=;01/11/2019;1
hff5haFhNvKtHjvDD9Szx0nsWqo=;01/11/2019;1
hFUs76hs+IpZ110XJhCKknKEJS0=;01/11/2019;3
hg/K8GQEcw53TzD3G6Zwj8omwSA=;01/11/2019;1
Hj5Ey2hu40SRk1ryxF3zCNKse7c=;01/11/2019;1
HJVdGw43HkwwU9JSm7nCkH2siMw=;01/11/2019;1
hlMcu868cFqzH3AlslvhPH7XWjM=;01/11/2019;4
HQgP6cczi2X1H0pAzJK7Jz2Mw3M=;01/11/2019;1
HQKKS83WOMzcXV94rrByStYhvI4=;01/11/2019;2
hTPkx6Aebni7wtGCFCdeeqbUUac=;01/11/2019;2
I4J11Hmo88LC/WWpkSJSqt6OpNI=;01/11/2019;2
I8k0/ukdR+uLf+ZFpvjSki53dDU=;01/11/2019;4
iDpG/JrSCBvsnGxHG6miUJb0pSU=;01/11/2019;2
Ie1FKiET1HQzLucO3+2E2im1npg=;01/11/2019;1
IEBZeauyc7MzrO7I+MWDlaEdvh4=;01/11/2019;2
igqgL8AvVeObqkRxDsmcoclKOCA=;01/11/2019;1
iguDzB/37j1worNdhIkTGjxei0Q=;01/11/2019;1
iOUm38t2hgEc9VOXB5zztc1Bcuk=;01/11/2019;1
Ipb1Tiposlks7TV4yQ9m10Q8fOc=;01/11/2019;1
iqgaumcSpoiP3kNdlZG1CA5O0/A=;01/11/2019;1
IrFXt3ohUbbQqFPyTsDVfaUB3tY=;01/11/2019;4
IwlLd9w0RKn1hNx93zTVK5fbSMY=;01/11/2019;2
IyYP1ZblpoyeRjTctcn2Y1Gjk1k=;01/11/2019;1
j2GgdImdKSvHZf1cSLmKTZeK8sU=;01/11/2019;2
j6NsMvgqfA5fBbXGXYtJbSI8SpU=;01/11/2019;1
j91MrOp2ETRamjyWvtUlvAWSDB4=;01/11/2019;1
JBCmRCK3vCHp21iIAE2VTrfjfBE=;01/11/2019;1
JEkT1n4zIPAlQvfz9um+EdHIs00=;01/11/2019;2
JfFvGa7iHm4JOWVbKou5V7tMky4=;01/11/2019;1
jl1MVtDc1IbK84mk97zb7otjnHo=;01/11/2019;1
JN7i3CAExXjoNHi8Gzmv/z/DeGQ=;01/11/2019;1
jnPbGy6KfUEod9Pr/Fqh3awXxoQ=;01/11/2019;1
jocW/dJSE+K4lQX9E79ixMp97Vk=;01/11/2019;1
joJZnbj/9pPZ3YkZKU7VDXFAX9s=;01/11/2019;1
JPPa5+Ci7Kcpr/69i0ShM3nOApc=;01/11/2019;5
jQoQ9mt/0O9/7ByfEV9Gun+hDnw=;01/11/2019;2
jQoQJy7bZHBOojI0IUi/4NDet2g=;01/11/2019;1
JR3z/7xzn22QjsjhQnWHyp1z82k=;01/11/2019;1
JR8wU4ZDcOfAxosfDsBhzATQcJY=;01/11/2019;1
jtOQD5wn4ssvMG2aFljhKtfvKyo=;01/11/2019;1
JuKZzefQ5qFqsq0KHmeBeuBmnoo=;01/11/2019;1
JVbyTnUzEFvRk33Bhr41ufrc/I8=;01/11/2019;1
K/HMGI8a9lolfr8xMn/+j6qJ9ek=;01/11/2019;1
K/UKWPSDtXuona5VshEXl02QBks=;01/11/2019;1
k+Qp3ue5xV1rWgUDcG9CAnQm9aw=;01/11/2019;1
K4qOiB6y8OMZZiSFIo854Y/vm6w=;01/11/2019;1
kCmHuoC7W8KhGAJ6f+R2EEC52NM=;01/11/2019;1
KFdbf0GYJCdQENpK4oHBy6w9drI=;01/11/2019;2
KfObIYiW0MEHMVr1dksmju9ah8k=;01/11/2019;1
kk/wLYjEJ4fccfz8n//3uFnwb1o=;01/11/2019;1
KlTbKOBkNrppmmS9zO0fwduFKlw=;01/11/2019;1
kRzVllL0djpJEEDj8VngY+f3EME=;01/11/2019;1
Ks9EiXRC+wuMg/T83ZSpMX9DVn4=;01/11/2019;1
kWYEPWrnkvvWJf/tdu3kt0JIXeo=;01/11/2019;1
KXkCBMcZLvHFVwCft8OENyxR828=;01/11/2019;4
kYFVzYpNS/o3qyolgCq2hS4G45E=;01/11/2019;1
L0Nct93vveY69tqQnATzu2BIh7A=;01/11/2019;1
L7alfwMh3OVsHHCzOrkFFcb5F3E=;01/11/2019;1
LasJ+P4LdtyGCrmtGD2EyVNqBpo=;01/11/2019;2
LdnqUoYo8cJhQhXpdJONmGfTmdQ=;01/11/2019;2
lEOzQDAkYBB4D3tSfbeKaeDm3SU=;01/11/2019;2
li71EMJEtMMgNi1fO0uDnxEzEY0=;01/11/2019;1
Lks5ctUa5W9i+ydYBcQSOoN6Tjw=;01/11/2019;1
Lo8vBYXFGKWUoKJYFYPhqGA81Qo=;01/11/2019;1
lP1GDTz8JVZ4Z0EdYHceASdJUZE=;01/11/2019;3
LPUtcNhZfYHUj+D3Gl9g0ySu2Ag=;01/11/2019;1
LqEG98kH+IleI1911cuPdLFfeMY=;01/11/2019;1
LuuKWl5q2eKuoysDHrhH1/QXO/U=;01/11/2019;1
LWCbCf+KLpQYdyRspji9HxjQ1UI=;01/11/2019;1
LXiKsG1TnkKpu9TH74l9rynSQyA=;01/11/2019;1
lz29lpKtxXmI9ejSfPk0iR/lHE4=;01/11/2019;2
M0AoYppepUtwywk1e2iQDbsuZFU=;01/11/2019;1
